Average,10.6981807,8.74340012,8.717495449,8.007255877,7.201903121,6.523123085,4.08454999,,,,,
Median,10.71,8.6805,8.735,8.0095,7.187,6.508,4.0625,,,,,
25-Q,9.479,5.931,6.561,5.74625,6.00325,3.55825,2.50325,,,,,
75-Q,11.92,11.55,10.99,10.25,8.37375,9.508,5.678,,,,,
Simulation,No_Int,DPCNC,DPCC,DPINC,DPIC,NDPIC,Med,,,,,
1,10.41,4.386,1.778,6.679,3.851,8.518,3.827,,,,,
2,10,1.408,3.958,4.131,4.432,9.329,1.956,,,,Abbreviations ,
3,11.93,7.307,6.561,3.983,6.336,4.895,7.008,,,,No_int,No intervention
4,9.551,10.43,6.894,5.064,6.462,1.075,6.651,,,,DPCNC,Digital -Psycological Control -No contact
5,9.589,5.527,6.627,1.473,5.977,1.594,4.956,,,,DPCC,Digital - Psycological Control - Contact
6,9.433,8.746,4.508,9.779,5.647,6.118,6.582,,,,DPINC,Digital - Psycological Intervention - No Contact
7,8.459,5.553,11.38,6.364,6.011,5.237,5.991,,,,DPIC,Digital - Psycological Intervention - Contact
8,7.727,3.657,10.05,5.397,5.23,2.351,4.495,,,,NDPIC,Non-Digital - Psycological Intervention - Contact
9,8.638,3.778,10.11,5.357,6.039,1.854,6.55,,,,Med,Medication
10,7.903,3.293,8.59,4.42,4.995,0.7902,5.429,,,,,
11,8.971,5.271,9.835,6.886,6.326,1.427,6.727,,,,,
12,9.083,4.972,9.589,6.603,6.561,1.641,6.71,,,,,
13,7.71,3.684,8.822,5.123,4.961,0.1155,5.6,,,,,
14,8.213,4.072,9.332,5.593,5.459,0.5158,6.322,,,,,
15,9.032,5.397,10.61,6.73,6.751,0.6771,6.176,,,,,
16,8.596,5.019,10.36,7.602,6.102,1.093,5.902,,,,,
17,11.94,8.202,13,3.391,9.5,12.68,2.273,,,,,
18,9.594,9.778,12.41,8.498,7.347,10.15,4.723,,,,,
19,10.47,5.456,9.787,9.207,6.934,3.665,3.625,,,,,
20,13.16,5.771,13.81,11.08,8.88,9.833,6.996,,,,,
21,10.94,2.719,11.79,8.581,6.752,8.377,2.685,,,,,
22,10.34,2.457,12.56,9.011,6.211,5.658,2.788,,,,,
23,11.16,2.225,12.6,9.263,7.066,3.437,2.62,,,,,
24,12.07,3.086,1.293,5.535,8.002,9.704,3.719,,,,,
25,10.85,10.18,5.261,9.516,6.282,7.404,4.483,,,,,
26,10.31,8.73,4.69,8.592,8.499,6.831,6.431,,,,,
27,10.3,4.386,5.342,6.249,5.656,0.9754,5.507,,,,,
28,11.86,3.299,8.216,8.335,8.27,9.618,0.8438,,,,,
29,13.41,4.913,10.38,4.819,8.495,12.85,4.42,,,,,
30,13.76,4.837,11.39,6.106,6.33,8.261,5.13,,,,,
31,10.81,11.98,10.39,5.449,4.923,7.945,4.414,,,,,
32,15.23,13.2,5.028,10.42,6.434,10.63,4.61,,,,,
33,12.94,9.639,1.274,4.045,3.585,4.807,2.409,,,,,
34,14.58,11.02,3.348,5.295,5.284,11.15,5.401,,,,,
35,9.862,14.19,9.531,11.18,6.747,9.156,5.892,,,,,
36,9.379,14.19,8.979,8.316,3.092,2.231,0.7217,,,,,
37,13.74,2.158,7.329,4.635,7.948,1.893,1.694,,,,,
38,9.991,8.662,8.679,4.784,5.902,3.606,3.995,,,,,
39,12.21,12.08,9.883,6.364,8.187,5.519,5.385,,,,,
40,7.724,12.95,7.218,7.197,5.706,5.685,6.941,,,,,
41,9.114,11.8,6.163,6.24,8.337,11.82,6.464,,,,,
42,9.571,14.79,8.337,8.886,8.939,8.156,3.341,,,,,
43,10.51,7.999,11.93,11.48,9.243,10.09,4.279,,,,,
44,10.39,8.491,6.847,6.673,6.045,1.708,1.136,,,,,
45,10.46,13.41,11.96,7.535,8.659,9.861,2.269,,,,,
46,9.906,9.234,12.9,8.619,9.044,0.8023,7.024,,,,,
47,16.82,6.812,7.944,3.732,4.944,0.6364,0.9144,,,,,
48,15.89,8.328,2.687,6.25,7.228,0.7754,1.022,,,,,
49,12.44,3.741,1.234,2.871,6.276,4.579,6.67,,,,,
50,12.08,9.27,2.597,6.953,7.139,6.798,4.817,,,,,
51,11.27,10.52,8.652,7.417,4.312,5.111,5.512,,,,,
52,11.74,14.15,10.17,8.295,7.759,7.385,7.508,,,,,
53,10.43,8.635,8.346,6.202,4.865,8.343,7.357,,,,,
54,10.91,8.419,7.157,5.315,6.358,7.62,5.214,,,,,
55,9.608,12.66,10.46,5.562,5.839,8.741,6.41,,,,,
56,11.71,15.54,12.1,8.109,8.667,12.42,7.157,,,,,
57,11.14,15.17,11.43,8.008,8.286,12.7,7.362,,,,,
58,10.06,15.35,9.024,5.347,6.484,9.916,6.017,,,,,
59,9.937,14.28,7.592,4.258,6.09,7.887,5.043,,,,,
60,9.752,15.45,8.976,4.49,6.142,4.787,3.834,,,,,
61,11.06,12.62,7.491,7.65,5.541,9.925,5.652,,,,,
62,12.66,8.391,9.207,5.164,6.8,1.877,7.25,,,,,
63,12.74,5.668,6.022,4.369,4.406,4.69,4.819,,,,,
64,11.77,1.866,4.639,1.001,2.997,2.946,4.013,,,,,
65,11.96,5.208,6.864,2.916,4.238,4.923,5.778,,,,,
66,10.7,3.76,3.54,1.139,2.83,0.7112,3.009,,,,,
67,11.17,5.296,1.671,2.229,2.31,2.604,1.198,,,,,
68,15.65,12.36,7.834,8.989,8.885,9.714,5.913,,,,,
69,12.42,10.81,5.991,7.654,4.853,6.621,5.259,,,,,
70,11.29,5.665,5.93,5.465,8.19,9.885,7.145,,,,,
71,10.53,5.055,6.216,6.668,7.259,4.815,3.628,,,,,
72,11.3,8.223,5.688,10.08,7.202,3.204,4.27,,,,,
73,10.61,2.185,2.954,10.83,7.125,12.81,5.173,,,,,
74,9.472,7.381,7.652,9.386,10.72,9.313,5.604,,,,,
75,9.866,16.11,10.13,10.14,12.2,0.8707,6.068,,,,,
76,12.2,13.15,9.15,8.981,9.001,10.88,4.476,,,,,
77,7.881,8.685,6.975,7.782,8.098,11.17,1.634,,,,,
78,11.94,7.197,8.369,13.22,10.6,7.44,6.992,,,,,
79,9.527,10.88,14.43,13.59,11.38,6.836,5.973,,,,,
80,10.49,15.73,6.788,12.85,5.402,6.689,4.021,,,,,
81,9.612,8.17,2.459,8.133,7.977,4.652,1.788,,,,,
82,9.349,9.409,3.712,8.459,9.63,3.034,0.8263,,,,,
83,10.14,2.969,2.393,6.491,6.409,10.84,3.018,,,,,
84,9.97,2.667,2.259,5.07,6.3,12.31,3.223,,,,,
85,9.848,5.306,3.015,8.299,5.821,12.19,5.037,,,,,
86,9.612,4.464,2.468,7.433,5.149,12.25,4.794,,,,,
87,11.35,2.144,10.46,7.626,7.821,7.789,1.559,,,,,
88,9.838,4.749,14.1,4.169,8.096,4.647,1.702,,,,,
89,10.3,5.621,7.559,4.984,3.246,12.12,1.447,,,,,
90,12.72,6.836,3.765,6.753,4.639,4.169,1.664,,,,,
91,11.4,8.695,7.714,9.439,7.853,2.301,4.729,,,,,
92,8.51,5.124,5.003,5.389,8.143,0.7753,2.167,,,,,
93,9.227,6.337,7.604,9.819,10.5,6.05,5.721,,,,,
94,12.15,7.007,7.452,12.05,9.013,12.74,6.82,,,,,
95,7.569,8.037,9.208,8.329,9.937,11.33,2.981,,,,,
96,11.46,5.653,13.8,7.732,4.989,12.92,3.86,,,,,
97,12.32,8.623,11.65,10.92,6.261,5.825,2.755,,,,,
98,12.41,13.34,9.667,14.15,6.94,10.15,1.297,,,,,
99,10.04,6.734,5.534,6.343,4.356,11.3,2.695,,,,,
100,10.45,5.147,5.539,8.271,6.403,12.3,1.232,,,,,
101,11.09,8.992,6.136,11.73,7.357,10.36,3.842,,,,,
102,9.974,9.314,6.104,7.116,3.888,3.077,1.933,,,,,
103,12.2,9.901,4.114,9.946,4.094,2.245,7.402,,,,,
104,10.41,5.356,11.01,10.41,5.805,10.99,4.783,,,,,
105,14.14,15.49,12.18,1.223,5.562,6.809,2.383,,,,,
106,9.735,4.946,13.23,4.328,8.061,8.383,6.183,,,,,
107,9.883,5.164,4.073,4.249,6.696,2.917,1.865,,,,,
108,12.45,3.079,11.96,9.155,5.448,3.819,2.61,,,,,
109,12.66,1.635,9.269,5.197,5.854,7.006,4.118,,,,,
110,10.21,9.981,9.654,7.571,5.906,11.62,1.728,,,,,
111,6.795,14.32,11.79,7.805,6.392,10.17,4.138,,,,,
112,7.73,7.124,11.02,3.984,4.919,10.1,2.028,,,,,
113,10.06,6.629,12.07,5.041,4.627,10.07,3.049,,,,,
114,8.481,4.948,14.41,9.785,7.683,1.068,5.086,,,,,
115,7.646,9.854,14.57,13.75,9.172,8.195,6.017,,,,,
116,12.62,10.56,7.4,12.21,8.141,7.612,7.016,,,,,
117,10.9,8.538,10.04,1.868,6.856,11.66,3.656,,,,,
118,9.377,15.17,8.441,4.489,6.27,7.358,6.936,,,,,
119,10.34,12.8,10.9,10.09,6.559,0.09842,5.346,,,,,
120,12.76,5.116,11.09,9.88,8.145,7.349,7.456,,,,,
121,11.44,5.707,10.71,10.07,9.479,9.778,6.472,,,,,
122,8.47,14.3,11.39,12.49,10.09,12.63,6.478,,,,,
123,8.88,12.71,9.965,7.034,9.97,11.82,4.308,,,,,
124,7.777,5.369,2.997,7.18,4.772,9.643,2.179,,,,,
125,6.891,12.52,14.07,11.49,7.762,8.167,6.564,,,,,
126,8.329,7.429,13.31,8.55,9.899,8.909,1.292,,,,,
127,10.35,4.291,4.102,1.365,6.425,9.065,5.304,,,,,
128,12.53,10.22,6.998,10.56,8.211,6.469,7.028,,,,,
129,9.923,6.655,3.24,10.77,4.823,11.46,7.464,,,,,
130,10.42,6.598,4.167,11.53,4.739,11.73,7.418,,,,,
131,14.68,11.28,8.723,11.96,6.735,8.185,6.556,,,,,
132,12.19,11.06,13.16,6.825,7.216,8.777,2.198,,,,,
133,8.175,11.19,14.1,13.17,11.34,9.362,3.887,,,,,
134,10.28,3.134,3.881,10.39,6.368,10.08,1.582,,,,,
135,7.418,7.415,12.8,9.526,6.042,7.209,3.805,,,,,
136,10.46,9.061,12.06,8.499,9.829,6.511,3.101,,,,,
137,8.41,13.42,14.08,6.689,8.458,4.757,5.09,,,,,
138,8.21,2.051,8.238,4.842,7.241,8.074,3.786,,,,,
139,8.352,15.65,12.92,12.83,7.99,10.1,4.156,,,,,
140,10.65,8.033,3.572,3.044,4.693,8.992,3.535,,,,,
141,10.01,4.521,8.998,2.398,7.495,11.85,3.242,,,,,
142,10.27,9.868,9.847,7.985,9.116,5.258,1.786,,,,,
143,9.39,9.868,10.22,9.88,8.662,7.967,1.377,,,,,
144,9.099,5.451,11.26,8.661,8.751,0.1584,5.293,,,,,
145,8.22,7.657,14.14,6.755,7.796,1.598,7.335,,,,,
146,7.793,4.793,10.51,0.8103,6.8,2.512,7.329,,,,,
147,8.339,3.909,6.002,3.381,7.063,4.885,1.075,,,,,
148,11.87,8.529,8.063,4.075,7.437,11.56,3.63,,,,,
149,9.692,3.852,10.93,2.323,7.015,6.7,6.523,,,,,
150,11.46,14.63,8.437,13.16,8.302,11.59,6.612,,,,,
151,10.85,7.242,8.042,10.7,8.481,3.791,6.521,,,,,
152,8.69,12.22,4.885,12.95,6.299,1.455,2.683,,,,,
153,7.064,10.07,2.483,8.942,3.607,1.163,3.525,,,,,
154,11.4,15.92,7.097,14.09,10.01,2.854,7.248,,,,,
155,8.819,12.39,3.636,10.26,6.9,0.6439,3.592,,,,,
156,8.111,13.55,4.792,11.63,7.323,2.565,3.883,,,,,
157,8.567,10.85,4.034,9.838,6.513,2.95,5.402,,,,,
158,10.94,12.34,7.096,9.994,9.104,4.167,6.712,,,,,
159,10.59,12.67,8.759,15.33,9.182,1.317,5.805,,,,,
160,13.43,9.122,15.3,4.686,6.878,2.065,5.757,,,,,
161,8.992,7.456,10.56,7.457,4.774,2.921,2.68,,,,,
162,9.016,10.21,7.898,4.339,8.318,4.94,1.63,,,,,
163,13.93,8.01,9.399,7.232,7.882,8.595,4.071,,,,,
164,10.74,13.1,11.95,12.3,10.84,7.94,6.66,,,,,
165,7.399,6.946,7.59,4.261,5.616,10.95,1.846,,,,,
166,12.72,11.03,10.51,12.16,7.953,11.62,5.743,,,,,
167,11.22,10.19,7.943,8.784,7.607,5.971,6.461,,,,,
168,10.75,8.035,9.839,7.7,7.175,1.089,3.248,,,,,
169,8.639,14.6,9.258,12.6,6.502,4.924,0.8489,,,,,
170,8.156,13.94,9.594,10.26,6.017,6.147,1.192,,,,,
171,9.222,10.67,7.933,8.681,7.208,1.717,1.36,,,,,
172,9.31,6.952,5.373,5.79,5.808,8.942,6.331,,,,,
173,9.852,10.97,6.76,6.617,5.27,5.595,3.322,,,,,
174,10.73,10.26,9.742,8.027,5.616,0.4976,6.179,,,,,
175,11.02,10.07,8.87,4.318,5.08,1.478,0.8768,,,,,
176,10.8,13.15,9.575,9.18,5.408,3.299,2.504,,,,,
177,12.91,11.44,9.308,8.437,4.956,6.331,2.139,,,,,
178,13.21,6.372,4.05,6.489,3.647,9.641,2.309,,,,,
179,12.95,5.017,4.762,5.262,3.635,11.65,3.376,,,,,
180,11.51,5.442,4.86,6.975,4.213,6.17,4.628,,,,,
181,13.12,6.375,5.064,7.888,5.174,8.996,3.639,,,,,
182,11.82,8.848,6.475,10.54,4.392,2.364,4.497,,,,,
183,13.36,10.72,6.523,11.54,5.942,9.577,6.325,,,,,
184,12.66,15.76,5.842,10.92,8.727,2.823,3.444,,,,,
185,10.46,12.27,3.427,8.049,7.101,3.281,0.7476,,,,,
186,12.5,13.06,4.406,8.097,8.2,4.253,1.536,,,,,
187,10.43,12.02,5.942,6.022,8.436,1.523,5.822,,,,,
188,9.314,11.54,7.001,6.039,8.789,6.513,5.003,,,,,
189,9.896,6.203,6.217,9.017,4.173,4.656,6.935,,,,,
190,11.5,4.606,8.274,3.22,4.43,0.7315,3.617,,,,,
191,9.803,5.645,10.58,4.735,6.241,1.113,3.345,,,,,
192,6.259,12.6,10.85,10.29,9.795,3.949,4.327,,,,,
193,7.898,15.02,9.962,7.909,8.124,8.915,1.619,,,,,
194,6.398,10.7,14.37,13.2,13.38,2.399,6.834,,,,,
195,11.9,12.77,11.46,10.48,10.78,2.422,7.287,,,,,
196,8.978,13.48,7.955,11.62,7.202,4.841,4.133,,,,,
197,10.39,10.15,10.77,7.485,6.91,10.22,7.057,,,,,
198,10.78,6.626,11.81,7.124,5.817,12.67,2.132,,,,,
199,11.26,8.113,12.3,7.36,6.752,12.3,1.157,,,,,
200,14.21,4.883,10.28,8.187,5.364,4.674,0.9718,,,,,
201,13.27,1.488,6.973,9.217,5.38,7.209,2.868,,,,,
202,13.35,2.288,7.298,9.117,5.745,2.519,3.645,,,,,
203,10.73,3.926,10.26,8.043,6.947,7.509,1.817,,,,,
204,9.364,5.922,1.354,4.735,8.196,9.555,3.712,,,,,
205,11.2,12.67,8.967,8.716,9.808,7.304,4.334,,,,,
206,9.024,11.07,8.442,4.036,9.833,4.496,1.267,,,,,
207,10.48,8.624,11.2,5.624,8.768,11.13,3.731,,,,,
208,10.11,13.1,14.32,13.38,8.116,5.827,6.882,,,,,
209,9.324,8.334,13.61,7.901,7.023,3.015,3.319,,,,,
210,9.073,12.73,11.54,8.973,10.45,7.656,7.391,,,,,
211,10.79,8.914,7.348,6.997,6.834,12.83,1.452,,,,,
212,12.7,9.572,8.156,6.363,6.619,9.583,2.371,,,,,
213,13.8,10.28,8.901,6.673,6.836,10.21,3.579,,,,,
214,13.31,9.833,8.602,7.427,6.56,7.656,0.8069,,,,,
215,13.77,5.237,7.813,3.256,5.168,6.596,5.806,,,,,
216,10.2,6.436,12.86,4.439,6.368,8.646,6.193,,,,,
217,9.218,1.655,4.444,8.08,5.475,11.86,2.752,,,,,
218,8.754,5.903,10.88,6.409,7.384,5.166,2.888,,,,,
219,8.875,12.62,14.02,14.44,11.17,3.135,5.897,,,,,
220,10.81,3.208,5.067,6.963,7.064,11.99,7.114,,,,,
221,9.145,1.195,5.364,5.173,4.428,6.744,6.251,,,,,
222,9.886,11.55,12.26,7.515,7.475,4.485,4.395,,,,,
223,11.42,14.46,10.12,10.74,9.006,4.585,4.87,,,,,
224,11.36,4.938,12.16,10.69,6.699,10.62,7.025,,,,,
225,8.96,6.966,10.53,10.42,6.268,7.457,4.562,,,,,
226,7.805,6.7,12.92,10.38,9.502,9.15,6.42,,,,,
227,8.405,8.497,14.39,10.75,9.764,3.674,6.46,,,,,
228,8.763,11.34,15.22,13.85,9.903,3.989,4.77,,,,,
229,5.253,8.72,15.14,12.35,8.875,3.73,4.439,,,,,
230,11.11,15.71,13.35,8.488,8.192,2.339,5.107,,,,,
231,10.98,12.72,12.41,4.8,6.965,11.53,6.201,,,,,
232,13.92,9.895,14.16,8.067,8.268,1.346,3.694,,,,,
233,10.59,8.465,11.32,11.54,7.969,2.683,4.018,,,,,
234,9.886,6.963,11.47,8.116,5.297,3.447,2.119,,,,,
235,10.96,9.942,13.46,14.04,10.64,9.792,7.192,,,,,
236,9.943,9.595,9.701,3.45,6.85,0.7235,5.228,,,,,
237,11.28,13.13,2.798,8.522,8.065,11.62,3.165,,,,,
238,10.77,8.601,12.52,5.599,4.392,11.67,0.9996,,,,,
239,13.41,8.061,11.32,12.08,8.589,6.278,6.861,,,,,
240,10.55,5.329,7.156,10.29,11.29,8.187,1.089,,,,,
241,10.6,6.909,10.53,8.324,7.175,1.696,2.983,,,,,
242,12.11,11.74,13.88,7.464,6.387,8.509,1.142,,,,,
243,10.64,10.35,12.32,6.478,9.457,11.87,2.561,,,,,
244,10.21,10.47,11.14,8.003,9.495,4.34,7.416,,,,,
245,7.714,10.56,14.83,12.64,11.05,11.47,4.312,,,,,
246,6.599,10.14,11.97,11.5,9.402,12.66,5.208,,,,,
247,11.22,8.687,8.972,9.694,9.363,10.55,6.499,,,,,
248,10.87,8.39,7.405,7.251,8.647,2.559,5.952,,,,,
249,11.12,13.34,8.557,7.129,8.796,3.387,5.683,,,,,
250,11.69,15.88,8.525,15.42,10.71,7.908,4.155,,,,,
251,8.797,9.353,7.097,8.008,8.995,2.335,6.075,,,,,
252,8.832,5.417,1.772,8.239,7.707,8.784,1.399,,,,,
253,9.515,12.22,7.326,13.45,8.287,6.433,1.139,,,,,
254,6.93,13.96,8.453,8.337,6.141,11.54,3.104,,,,,
255,8.128,6.113,6.012,4.61,8.113,5.499,4.644,,,,,
256,8.117,8.215,11.07,4.339,5.575,2.252,3.68,,,,,
257,10.39,9.629,13.97,6.968,6.857,1.122,4.845,,,,,
258,10.8,9.186,13.49,7.258,6.605,0.4807,6.247,,,,,
259,7.097,6.074,11.41,3.791,3.184,1.654,4.736,,,,,
260,12.12,12.48,13.67,5.875,7.715,3.267,0.9073,,,,,
261,9.687,10.28,8.696,5.88,7.716,2.798,3.523,,,,,
262,8.497,7.977,9.395,2.573,5.91,3.474,2.083,,,,,
263,8.418,10.87,8.182,12.83,7.999,10.38,4.867,,,,,
264,10.86,8.798,10.85,7.377,9.901,10.54,3.216,,,,,
265,9.692,4.431,10.61,7.091,6.611,6.966,7.295,,,,,
266,9.167,9.012,7.171,7.014,11.25,4.98,6.742,,,,,
267,12.11,9.371,6.359,10.16,7.113,1.703,4.321,,,,,
268,11.29,4.65,5.563,7.722,5.72,3.535,2.866,,,,,
269,11.45,4.126,8.609,6.251,5.078,3.875,3.574,,,,,
270,12.33,4.011,10.25,8.034,6.731,7.612,3.759,,,,,
271,11.6,2.306,8.986,5.632,5.863,5.568,6.143,,,,,
272,13.54,5.203,9.843,8.497,7.052,6.763,6.47,,,,,
273,12.59,1.825,8.027,6.551,5.571,7.289,6.774,,,,,
274,12.41,2.467,8.875,7.087,5.83,4.669,6.246,,,,,
275,11.62,3.336,8.839,8.221,6.132,4.081,5.883,,,,,
276,11.3,3.326,13.21,10.6,9.39,12.66,2.583,,,,,
277,11.19,4.321,5.294,4.901,6.989,0.6423,1.282,,,,,
278,8.051,3.132,9.239,8.172,5.048,7.125,6.9,,,,,
279,10.6,13.1,10.66,11.91,8.773,7.005,5.632,,,,,
280,13.24,14.35,10.81,12.56,8.339,8.311,6.844,,,,,
281,9.457,13.33,9.098,12.83,7.126,6.272,4.615,,,,,
282,10.18,12.76,9.579,12.58,7.375,8.172,5.084,,,,,
283,11.93,14.31,9.637,14.43,7.448,7.065,5.678,,,,,
284,11.54,14.33,9.392,14.36,7.187,6.408,5.271,,,,,
285,9.619,13.21,8.271,13.05,6.126,5.249,4.318,,,,,
286,13.42,15.54,10.11,14.91,8.191,6.716,6.207,,,,,
287,11.26,14.01,8.86,13.74,7.063,6.14,4.682,,,,,
288,13.57,15.01,9.963,14.23,8.152,7.265,5.917,,,,,
289,10.97,13.64,7.828,13.43,6.742,3.981,3.703,,,,,
290,11,13.94,8.021,13.02,6.748,4.075,3.546,,,,,
291,11.28,13.96,7.948,12.89,6.728,4.06,3.856,,,,,
292,11.37,14.47,8.407,12.69,6.86,3.814,3.714,,,,,
293,12.41,15.48,10.29,14.63,8.906,5.741,2.919,,,,,
294,10.62,14.65,8.444,13.5,7.956,2.342,1.735,,,,,
295,9.061,12.24,8.605,11.65,7.335,1.373,3.96,,,,,
296,11.48,12.44,6.15,9.037,6.804,4.787,5.989,,,,,
297,9.937,10.27,13.01,4.583,8.372,1.38,5.398,,,,,
298,9.611,14.73,10.11,12.24,5.545,1.917,2.679,,,,,
